"{0.6996735737140071, 0.8525547163312565, 0.8525547163312565}","{-0.8525547163312565, 0.8525547163312565, 0.6996735737140071}","{-0.6996735737140071, 0.8525547163312565, -0.8525547163312565}","{0.8525547163312565, 0.8525547163312565, -0.6996735737140071}","{0.7971715746723247, -0.7971715746723247, 0.9713563742367465}","{-0.9713563742367465, -0.7971715746723247, 0.7971715746723247}","{-0.7971715746723247, -0.7971715746723247, -0.9713563742367465}","{0.9713563742367465, -0.7971715746723247, -0.7971715746723247}","{0.31210589453023535, 0.31210589453023535, 0.3803021328418809}","{-0.3803021328418809, 0.31210589453023535, 0.31210589453023535}","{-0.31210589453023535, 0.31210589453023535, -0.3803021328418809}","{0.3803021328418809, 0.31210589453023535, -0.31210589453023535}","{0.33011603178977983, -0.4022475485889592, 0.4022475485889592}","{-0.4022475485889592, -0.4022475485889592, 0.33011603178977983}","{-0.33011603178977983, -0.4022475485889592, -0.4022475485889592}","{0.4022475485889592, -0.4022475485889592, -0.33011603178977983}"
"{0.5728961148360475, 0.8573996268722983, 0.8573996268722983}","{-0.8573996268722983, 0.8573996268722983, 0.5728961148360475}","{-0.5728961148360475, 0.8573996268722983, -0.8573996268722983}","{0.8573996268722983, 0.8573996268722983, -0.5728961148360475}","{0.7417118057626192, -0.7417118057626192, 1.1100501627413617}","{-1.1100501627413617, -0.7417118057626192, 0.7417118057626192}","{-0.7417118057626192, -0.7417118057626192, -1.1100501627413617}","{1.1100501627413617, -0.7417118057626192, -0.7417118057626192}","{0.26717952515516974, 0.26717952515516974, 0.399862417013456}","{-0.399862417013456, 0.26717952515516974, 0.26717952515516974}","{-0.26717952515516974, 0.26717952515516974, -0.399862417013456}","{0.399862417013456, 0.26717952515516974, -0.26717952515516974}","{0.29890744893311244, -0.44734661057693637, 0.44734661057693637}","{-0.44734661057693637, -0.44734661057693637, 0.29890744893311244}","{-0.29890744893311244, -0.44734661057693637, -0.44734661057693637}","{0.44734661057693637, -0.44734661057693637, -0.29890744893311244}"
"{0.4545352197205165, 0.8503755846208638, 0.8503755846208638}","{-0.8503755846208638, 0.8503755846208638, 0.4545352197205165}","{-0.4545352197205165, 0.8503755846208638, -0.8503755846208638}","{0.8503755846208638, 0.8503755846208638, -0.4545352197205165}","{0.6651789680793787, -0.6651789680793787, 1.244462319566372}","{-1.244462319566372, -0.6651789680793787, 0.6651789680793787}","{-0.6651789680793787, -0.6651789680793787, -1.244462319566372}","{1.244462319566372, -0.6651789680793787, -0.6651789680793787}","{0.22238311556129314, 0.22238311556129314, 0.4160495462189327}","{-0.4160495462189327, 0.22238311556129314, 0.22238311556129314}","{-0.22238311556129314, 0.22238311556129314, -0.4160495462189327}","{0.4160495462189327, 0.22238311556129314, -0.22238311556129314}","{0.2631544641951285, -0.4923273744840277, 0.4923273744840277}","{-0.4923273744840277, -0.4923273744840277, 0.2631544641951285}","{-0.2631544641951285, -0.4923273744840277, -0.4923273744840277}","{0.4923273744840277, -0.4923273744840277, -0.2631544641951285}"
"{0.3453613326138655, 0.8337760131156396, 0.8337760131156396}","{-0.8337760131156396, 0.8337760131156396, 0.3453613326138655}","{-0.3453613326138655, 0.8337760131156396, -0.8337760131156396}","{0.8337760131156396, 0.8337760131156396, -0.3453613326138655}","{0.5668460968388422, -0.5668460968388422, 1.368487534766586}","{-1.368487534766586, -0.5668460968388422, 0.5668460968388422}","{-0.5668460968388422, -0.5668460968388422, -1.368487534766586}","{1.368487534766586, -0.5668460968388422, -0.5668460968388422}","{0.17771809672527414, 0.17771809672527414, 0.42904943939329043}","{-0.42904943939329043, 0.17771809672527414, 0.17771809672527414}","{-0.17771809672527414, 0.17771809672527414, -0.42904943939329043}","{0.42904943939329043, 0.17771809672527414, -0.17771809672527414}","{0.22244376978854655, -0.5370267658889077, 0.5370267658889077}","{-0.5370267658889077, -0.5370267658889077, 0.22244376978854655}","{-0.22244376978854655, -0.5370267658889077, -0.5370267658889077}","{0.5370267658889077, -0.5370267658889077, -0.22244376978854655}"
"{0.24559065955172993, 0.8096039047838315, 0.8096039047838315}","{-0.8096039047838315, 0.8096039047838315, 0.24559065955172993}","{-0.24559065955172993, 0.8096039047838315, -0.8096039047838315}","{0.8096039047838315, 0.8096039047838315, -0.24559065955172993}","{0.4475134866758922, -0.4475134866758922, 1.475254258112022}","{-1.475254258112022, -0.4475134866758922, 0.4475134866758922}","{-0.4475134866758922, -0.4475134866758922, -1.475254258112022}","{1.475254258112022, -0.4475134866758922, -0.4475134866758922}","{0.1331724138123444, 0.1331724138123444, 0.43901061395721486}","{-0.43901061395721486, 0.1331724138123444, 0.1331724138123444}","{-0.1331724138123444, 0.1331724138123444, -0.43901061395721486}","{0.43901061395721486, 0.1331724138123444, -0.1331724138123444}","{0.17631037105183953, -0.5812174010119027, 0.5812174010119027}","{-0.5812174010119027, -0.5812174010119027, 0.17631037105183953}","{-0.17631037105183953, -0.5812174010119027, -0.5812174010119027}","{0.5812174010119027, -0.5812174010119027, -0.17631037105183953}"
"{0.15506232986549426, 0.7795509746738446, 0.7795509746738446}","{-0.7795509746738446, 0.7795509746738446, 0.15506232986549426}","{-0.15506232986549426, 0.7795509746738446, -0.7795509746738446}","{0.7795509746738446, 0.7795509746738446, -0.15506232986549426}","{0.3098711329908329, -0.3098711329908329, 1.557827384354595}","{-1.557827384354595, -0.3098711329908329, 0.3098711329908329}","{-0.3098711329908329, -0.3098711329908329, -1.557827384354595}","{1.557827384354595, -0.3098711329908329, -0.3098711329908329}","{0.08872412885571966, 0.08872412885571966, 0.4460463169008219}","{-0.4460463169008219, 0.08872412885571966, 0.08872412885571966}","{-0.08872412885571966, 0.08872412885571966, -0.4460463169008219}","{0.4460463169008219, 0.08872412885571966, -0.08872412885571966}","{0.12423873382354553, -0.6245902930028218, 0.6245902930028218}","{-0.6245902930028218, -0.6245902930028218, 0.12423873382354553}","{-0.12423873382354553, -0.6245902930028218, -0.6245902930028218}","{0.6245902930028218, -0.6245902930028218, -0.12423873382354553}"
"{0.07337711583178406, 0.745010359591415, 0.745010359591415}","{-0.745010359591415, 0.745010359591415, 0.07337711583178406}","{-0.07337711583178406, 0.745010359591415, -0.745010359591415}","{0.745010359591415, 0.745010359591415, -0.07337711583178406}","{0.15858690666448103, -0.15858690666448103, 1.6101598846082987}","{-1.6101598846082987, -0.15858690666448103, 0.15858690666448103}","{-0.15858690666448103, -0.15858690666448103, -1.6101598846082987}","{1.6101598846082987, -0.15858690666448103, -0.15858690666448103}","{0.04434439672429536, 0.04434439672429536, 0.4502362156774949}","{-0.4502362156774949, 0.04434439672429536, 0.04434439672429536}","{-0.04434439672429536, 0.04434439672429536, -0.4502362156774949}","{0.4502362156774949, 0.04434439672429536, -0.04434439672429536}","{0.06566752597591034, -0.6667335801661485, 0.6667335801661485}","{-0.6667335801661485, -0.6667335801661485, 0.06566752597591034}","{-0.06566752597591034, -0.6667335801661485, -0.6667335801661485}","{0.6667335801661485, -0.6667335801661485, -0.06566752597591034}"
"{0., 0.7071067811865475, 0.7071067811865475}","{-0.7071067811865475, 0.7071067811865475, 0.}","{0., 0.7071067811865475, -0.7071067811865475}","{0.7071067811865475, 0.7071067811865475, 0.}","{0., 0., 1.6280982076272754}","{-1.6280982076272754, 0., 0.}","{0., 0., -1.6280982076272754}","{1.6280982076272754, 0., 0.}","{0., 0., 0.45162761939198165}","{-0.45162761939198165, 0., 0.}","{0., 0., -0.45162761939198165}","{0.45162761939198165, 0., 0.}","{0., -0.7071067811865475, 0.7071067811865475}","{-0.7071067811865475, -0.7071067811865475, 0.}","{0., -0.7071067811865475, -0.7071067811865475}","{0.7071067811865475, -0.7071067811865475, 0.}"
"{-0.06566752597591034, 0.6667335801661485, 0.6667335801661485}","{-0.6667335801661485, 0.6667335801661485, -0.06566752597591034}","{0.06566752597591034, 0.6667335801661485, -0.6667335801661485}","{0.6667335801661485, 0.6667335801661485, 0.06566752597591034}","{-0.15858690666448103, 0.15858690666448103, 1.6101598846082987}","{-1.6101598846082987, 0.15858690666448103, -0.15858690666448103}","{0.15858690666448103, 0.15858690666448103, -1.6101598846082987}","{1.6101598846082987, 0.15858690666448103, 0.15858690666448103}","{-0.04434439672429536, -0.04434439672429536, 0.4502362156774949}","{-0.4502362156774949, -0.04434439672429536, -0.04434439672429536}","{0.04434439672429536, -0.04434439672429536, -0.4502362156774949}","{0.4502362156774949, -0.04434439672429536, 0.04434439672429536}","{-0.07337711583178406, -0.745010359591415, 0.745010359591415}","{-0.745010359591415, -0.745010359591415, -0.07337711583178406}","{0.07337711583178406, -0.745010359591415, -0.745010359591415}","{0.745010359591415, -0.745010359591415, 0.07337711583178406}"
"{-0.12423873382354553, 0.6245902930028218, 0.6245902930028218}","{-0.6245902930028218, 0.6245902930028218, -0.12423873382354553}","{0.12423873382354553, 0.6245902930028218, -0.6245902930028218}","{0.6245902930028218, 0.6245902930028218, 0.12423873382354553}","{-0.3098711329908329, 0.3098711329908329, 1.557827384354595}","{-1.557827384354595, 0.3098711329908329, -0.3098711329908329}","{0.3098711329908329, 0.3098711329908329, -1.557827384354595}","{1.557827384354595, 0.3098711329908329, 0.3098711329908329}","{-0.08872412885571966, -0.08872412885571966, 0.4460463169008219}","{-0.4460463169008219, -0.08872412885571966, -0.08872412885571966}","{0.08872412885571966, -0.08872412885571966, -0.4460463169008219}","{0.4460463169008219, -0.08872412885571966, 0.08872412885571966}","{-0.15506232986549426, -0.7795509746738446, 0.7795509746738446}","{-0.7795509746738446, -0.7795509746738446, -0.15506232986549426}","{0.15506232986549426, -0.7795509746738446, -0.7795509746738446}","{0.7795509746738446, -0.7795509746738446, 0.15506232986549426}"
"{-0.17631037105183953, 0.5812174010119027, 0.5812174010119027}","{-0.5812174010119027, 0.5812174010119027, -0.17631037105183953}","{0.17631037105183953, 0.5812174010119027, -0.5812174010119027}","{0.5812174010119027, 0.5812174010119027, 0.17631037105183953}","{-0.4475134866758922, 0.4475134866758922, 1.475254258112022}","{-1.475254258112022, 0.4475134866758922, -0.4475134866758922}","{0.4475134866758922, 0.4475134866758922, -1.475254258112022}","{1.475254258112022, 0.4475134866758922, 0.4475134866758922}","{-0.1331724138123444, -0.1331724138123444, 0.43901061395721486}","{-0.43901061395721486, -0.1331724138123444, -0.1331724138123444}","{0.1331724138123444, -0.1331724138123444, -0.43901061395721486}","{0.43901061395721486, -0.1331724138123444, 0.1331724138123444}","{-0.24559065955172993, -0.8096039047838315, 0.8096039047838315}","{-0.8096039047838315, -0.8096039047838315, -0.24559065955172993}","{0.24559065955172993, -0.8096039047838315, -0.8096039047838315}","{0.8096039047838315, -0.8096039047838315, 0.24559065955172993}"
"{-0.22244376978854655, 0.5370267658889077, 0.5370267658889077}","{-0.5370267658889077, 0.5370267658889077, -0.22244376978854655}","{0.22244376978854655, 0.5370267658889077, -0.5370267658889077}","{0.5370267658889077, 0.5370267658889077, 0.22244376978854655}","{-0.5668460968388422, 0.5668460968388422, 1.368487534766586}","{-1.368487534766586, 0.5668460968388422, -0.5668460968388422}","{0.5668460968388422, 0.5668460968388422, -1.368487534766586}","{1.368487534766586, 0.5668460968388422, 0.5668460968388422}","{-0.17771809672527414, -0.17771809672527414, 0.42904943939329043}","{-0.42904943939329043, -0.17771809672527414, -0.17771809672527414}","{0.17771809672527414, -0.17771809672527414, -0.42904943939329043}","{0.42904943939329043, -0.17771809672527414, 0.17771809672527414}","{-0.3453613326138655, -0.8337760131156396, 0.8337760131156396}","{-0.8337760131156396, -0.8337760131156396, -0.3453613326138655}","{0.3453613326138655, -0.8337760131156396, -0.8337760131156396}","{0.8337760131156396, -0.8337760131156396, 0.3453613326138655}"
"{-0.2631544641951285, 0.4923273744840277, 0.4923273744840277}","{-0.4923273744840277, 0.4923273744840277, -0.2631544641951285}","{0.2631544641951285, 0.4923273744840277, -0.4923273744840277}","{0.4923273744840277, 0.4923273744840277, 0.2631544641951285}","{-0.6651789680793787, 0.6651789680793787, 1.244462319566372}","{-1.244462319566372, 0.6651789680793787, -0.6651789680793787}","{0.6651789680793787, 0.6651789680793787, -1.244462319566372}","{1.244462319566372, 0.6651789680793787, 0.6651789680793787}","{-0.22238311556129314, -0.22238311556129314, 0.4160495462189327}","{-0.4160495462189327, -0.22238311556129314, -0.22238311556129314}","{0.22238311556129314, -0.22238311556129314, -0.4160495462189327}","{0.4160495462189327, -0.22238311556129314, 0.22238311556129314}","{-0.4545352197205165, -0.8503755846208638, 0.8503755846208638}","{-0.8503755846208638, -0.8503755846208638, -0.4545352197205165}","{0.4545352197205165, -0.8503755846208638, -0.8503755846208638}","{0.8503755846208638, -0.8503755846208638, 0.4545352197205165}"
"{-0.29890744893311244, 0.44734661057693637, 0.44734661057693637}","{-0.44734661057693637, 0.44734661057693637, -0.29890744893311244}","{0.29890744893311244, 0.44734661057693637, -0.44734661057693637}","{0.44734661057693637, 0.44734661057693637, 0.29890744893311244}","{-0.7417118057626192, 0.7417118057626192, 1.1100501627413617}","{-1.1100501627413617, 0.7417118057626192, -0.7417118057626192}","{0.7417118057626192, 0.7417118057626192, -1.1100501627413617}","{1.1100501627413617, 0.7417118057626192, 0.7417118057626192}","{-0.26717952515516974, -0.26717952515516974, 0.399862417013456}","{-0.399862417013456, -0.26717952515516974, -0.26717952515516974}","{0.26717952515516974, -0.26717952515516974, -0.399862417013456}","{0.399862417013456, -0.26717952515516974, 0.26717952515516974}","{-0.5728961148360475, -0.8573996268722983, 0.8573996268722983}","{-0.8573996268722983, -0.8573996268722983, -0.5728961148360475}","{0.5728961148360475, -0.8573996268722983, -0.8573996268722983}","{0.8573996268722983, -0.8573996268722983, 0.5728961148360475}"
"{-0.33011603178977983, 0.4022475485889592, 0.4022475485889592}","{-0.4022475485889592, 0.4022475485889592, -0.33011603178977983}","{0.33011603178977983, 0.4022475485889592, -0.4022475485889592}","{0.4022475485889592, 0.4022475485889592, 0.33011603178977983}","{-0.7971715746723247, 0.7971715746723247, 0.9713563742367465}","{-0.9713563742367465, 0.7971715746723247, -0.7971715746723247}","{0.7971715746723247, 0.7971715746723247, -0.9713563742367465}","{0.9713563742367465, 0.7971715746723247, 0.7971715746723247}","{-0.31210589453023535, -0.31210589453023535, 0.3803021328418809}","{-0.3803021328418809, -0.31210589453023535, -0.31210589453023535}","{0.31210589453023535, -0.31210589453023535, -0.3803021328418809}","{0.3803021328418809, -0.31210589453023535, 0.31210589453023535}","{-0.6996735737140071, -0.8525547163312565, 0.8525547163312565}","{-0.8525547163312565, -0.8525547163312565, -0.6996735737140071}","{0.6996735737140071, -0.8525547163312565, -0.8525547163312565}","{0.8525547163312565, -0.8525547163312565, 0.6996735737140071}"
"{-0.3571428571428571, 0.3571428571428571, 0.3571428571428571}","{-0.3571428571428571, 0.3571428571428571, -0.3571428571428571}","{0.3571428571428571, 0.3571428571428571, -0.3571428571428571}","{0.3571428571428571, 0.3571428571428571, 0.3571428571428571}","{-0.8333333333333333, 0.8333333333333333, 0.8333333333333333}","{-0.8333333333333333, 0.8333333333333333, -0.8333333333333333}","{0.8333333333333333, 0.8333333333333333, -0.8333333333333333}","{0.8333333333333333, 0.8333333333333333, 0.8333333333333333}","{-0.3571428571428571, -0.3571428571428571, 0.3571428571428571}","{-0.3571428571428571, -0.3571428571428571, -0.3571428571428571}","{0.3571428571428571, -0.3571428571428571, -0.3571428571428571}","{0.3571428571428571, -0.3571428571428571, 0.3571428571428571}","{-0.8333333333333333, -0.8333333333333333, 0.8333333333333333}","{-0.8333333333333333, -0.8333333333333333, -0.8333333333333333}","{0.8333333333333333, -0.8333333333333333, -0.8333333333333333}","{0.8333333333333333, -0.8333333333333333, 0.8333333333333333}"
